topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,line,0.068311,tax,0.027136,enter,0.026457,total,0.019486,income,0.018188,schedule,0.018147,loss,0.015636,amount,0.015614,gain,0.010032,instruction,0.009954,attach,0.009833,less,0.007908,expense,0.0077,credit,0.006757,net,0.006458,business,0.006301,deduction,0.006299,social,0.006191,property,0.006186,add,0.005621
1,told,0.005037,know,0.004047,n't,0.003909,wife,0.003722,asked,0.00359,soviet,0.003369,get,0.003354,say,0.003346,go,0.003022,embassy,0.002869,friend,0.002857,meeting,0.00276,like,0.002737,de,0.002577,good,0.002532,loginov,0.002472,man,0.002367,people,0.002314,come,0.002201,take,0.002153
2,de,0.069039,la,0.04166,en,0.02446,el,0.021969,los,0.012266,del,0.010781,se,0.00975,por,0.009536,con,0.009083,un,0.008023,para,0.007324,al,0.00713,le,0.005955,e,0.005831,su,0.005536,una,0.005503,lo,0.005243,cuba,0.004336,como,0.003766,si,0.00277
3,communist,0.011252,fbi,0.00885,king,0.008253,attorney,0.00816,novel,0.007988,o'dell,0.007067,party,0.007032,atlanta,0.006439,sclc,0.006339,sullivan,0.005854,belmont,0.005329,york,0.005305,klan,0.005288,negro,0.005048,orleans,0.004836,letter,0.004705,bullet,0.004586,levison,0.00458,material,0.004559,committee,0.004407
4,n't,0.013129,know,0.007983,think,0.007725,president,0.0068,assassination,0.00625,washington,0.00573,thing,0.005337,meeting,0.005133,area,0.005076,people,0.005067,senator,0.004585,question,0.004529,say,0.004493,paul,0.004415,phone,0.004241,yes,0.004147,street,0.004125,ward,0.003985,get,0.003687,going,0.003594
5,york,0.009609,woman,0.006577,washington,0.006358,bureau,0.006325,national,0.006152,fbi,0.006152,organization,0.004972,san,0.004648,party,0.004256,california,0.0041,jaffe,0.003733,francisco,0.003642,investigation,0.003584,department,0.003388,communist,0.003305,committee,0.003271,program,0.003231,january,0.003221,march,0.003194,meeting,0.003136
6,nosenko,0.042321,kgb,0.025175,soviet,0.01354,american,0.011836,moscow,0.011489,department,0.010581,embassy,0.008927,directorate,0.004377,code,0.003937,ussr,0.00387,second,0.00373,tourist,0.003696,deputy,0.003681,january,0.003302,seventh,0.003201,reported,0.00301,u.s.,0.002967,recruitment,0.002945,union,0.002864,period,0.002826
7,board,0.016172,assassination,0.012302,jfk,0.007432,release,0.007373,public,0.006183,collection,0.004831,cover,0.004483,tichborn,0.004418,material,0.004392,miami,0.00426,arrb,0.003557,president,0.00355,disclosure,0.003473,wiley,0.00342,fbi,0.003244,issue,0.003149,oswald,0.003148,employee,0.002714,kennedy,0.002676,florida,0.00265
8,mexico,0.011291,city,0.006463,cuba,0.005244,cuban,0.004814,de,0.003968,soviet,0.003453,trace,0.003124,birth,0.00294,embassy,0.002874,july,0.002847,havana,0.002764,known,0.002718,info,0.002689,october,0.002667,wife,0.002504,approval,0.002504,august,0.002312,dr.,0.002293,communist,0.002263,reported,0.002233
9,cuban,0.010147,castro,0.007667,cuba,0.007429,miami,0.004884,bosch,0.003883,u.s.,0.003587,meeting,0.003202,exile,0.003166,hunt,0.003148,president,0.003095,june,0.003038,assassination,0.002961,dated,0.002794,fbi,0.002758,kennedy,0.002683,july,0.002615,diem,0.002523,october,0.002493,involved,0.002238,plan,0.00215
