topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,n't,0.013124,say,0.010477,know,0.008883,call,0.008638,der,0.00707,get,0.006891,go,0.006689,right,0.005299,und,0.00528,die,0.005246,phone,0.005215,back,0.004716,like,0.004591,going,0.004419,yes,0.00431,want,0.004284,thing,0.004148,think,0.004089,take,0.003885,got,0.003838
1,told,0.005275,know,0.004284,wife,0.004055,n't,0.003941,asked,0.003845,get,0.003416,go,0.003145,friend,0.002959,loginov,0.002956,good,0.002947,say,0.002923,like,0.002895,soviet,0.002866,de,0.002802,people,0.002774,paris,0.002598,meeting,0.002517,embassy,0.002502,much,0.002483,man,0.002475
2,de,0.07632,la,0.046638,en,0.027369,el,0.024905,los,0.013615,del,0.011597,se,0.01107,por,0.010872,con,0.010257,un,0.00926,para,0.008485,al,0.008094,le,0.0069,e,0.00672,su,0.006333,una,0.006299,lo,0.006056,como,0.004335,cuba,0.003766,si,0.003242
3,tichborn,0.035779,novel,0.021117,orleans,0.019196,garrison,0.012641,edward,0.008471,contract,0.006861,gordon,0.00658,g.,0.00606,jury,0.005735,grand,0.004949,louisiana,0.004398,attorney,0.004319,company,0.004173,cover,0.004137,witness,0.00392,march,0.003564,month,0.003436,shaw,0.003429,ferrie,0.003347,august,0.003119
4,n't,0.013697,think,0.008199,know,0.008044,president,0.006745,assassination,0.006716,washington,0.005986,thing,0.005648,people,0.005442,area,0.005386,meeting,0.005307,paul,0.004813,senator,0.00473,question,0.004712,say,0.004613,phone,0.004533,ward,0.0044,street,0.004387,yes,0.004282,s.e.,0.003912,bissell,0.003828
5,york,0.009433,national,0.007162,organization,0.00572,bureau,0.005533,woman,0.005456,fbi,0.005318,san,0.005309,party,0.004961,washington,0.004821,program,0.004489,california,0.004366,francisco,0.004091,investigation,0.003855,communist,0.003825,march,0.003594,abortion,0.003489,meeting,0.003419,committee,0.003321,department,0.003273,conference,0.002973
6,nosenko,0.0458,kgb,0.027048,soviet,0.01261,american,0.012593,moscow,0.011358,department,0.011138,embassy,0.009448,directorate,0.004748,code,0.00423,tourist,0.004064,second,0.004026,deputy,0.003854,ussr,0.003599,january,0.003453,seventh,0.003422,u.s.,0.0032,recruitment,0.003175,reported,0.00317,geneva,0.002972,union,0.002911
7,board,0.019114,miami,0.010461,jfk,0.009003,release,0.008752,assassination,0.006484,collection,0.005837,florida,0.005697,cover,0.004483,arrb,0.004139,fbi,0.003976,rothman,0.0037,issue,0.003645,public,0.003485,employee,0.003049,sa,0.002819,telephone,0.002798,identity,0.002782,material,0.002777,j.,0.002708,york,0.002462
8,mexico,0.01364,city,0.007701,soviet,0.005932,de,0.004493,embassy,0.004182,cuba,0.003924,wife,0.003755,cuban,0.003253,known,0.003102,info,0.003067,communist,0.002935,dispatch,0.002892,birth,0.002835,october,0.002753,reported,0.002679,september,0.002615,havana,0.002611,country,0.002517,july,0.002447,born,0.002445
9,cuban,0.017757,cuba,0.015905,castro,0.011537,miami,0.006395,exile,0.00468,u.s.,0.004406,bosch,0.003912,havana,0.003484,meeting,0.003132,plan,0.003001,president,0.00275,hunt,0.002671,dated,0.002482,fidel,0.002398,costa,0.002383,jose,0.002382,support,0.00229,fbi,0.002201,june,0.002199,american,0.002172
