topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,black,0.018996,bpp,0.013263,panther,0.012414,chicago,0.011337,party,0.010108,people,0.009686,illinois,0.007858,police,0.006281,fbi,0.004722,federal,0.003663,community,0.00356,investigation,0.003363,hampton,0.0033,white,0.003234,program,0.003231,attorney,0.003148,national,0.003079,street,0.003072,department,0.002878,pig,0.002823
1,york,0.010552,woman,0.007352,national,0.007327,party,0.006958,washington,0.006315,san,0.005301,communist,0.005197,organization,0.005129,fbi,0.004857,american,0.004678,bureau,0.004489,january,0.00428,california,0.004251,jaffe,0.004182,francisco,0.004165,meeting,0.003737,demonstration,0.003695,march,0.003564,university,0.00351,committee,0.003464
2,cover,0.007994,project,0.007656,operational,0.006625,contract,0.006557,mexico,0.005856,city,0.004951,approval,0.004688,dispatch,0.00372,required,0.003687,headquarters,0.003391,per,0.003276,period,0.002978,travel,0.00293,june,0.002912,month,0.002901,july,0.002826,personnel,0.00278,payment,0.002597,salary,0.002593,training,0.002383
3,fbi,0.016731,committee,0.014137,bureau,0.008916,attorney,0.007842,investigation,0.007583,ssc,0.006764,select,0.006063,material,0.005548,senate,0.005409,king,0.004934,department,0.00467,interview,0.004615,letter,0.004385,dated,0.00407,board,0.00376,counsel,0.003579,response,0.003495,internal,0.003335,federal,0.003136,former,0.003132
4,de,0.056594,la,0.03375,en,0.019828,el,0.017614,los,0.01001,del,0.008546,se,0.007864,por,0.007472,con,0.007322,un,0.006564,para,0.005976,al,0.005803,le,0.005416,e,0.004837,mexico,0.004519,su,0.004421,una,0.004334,lo,0.004188,cuba,0.003361,city,0.003006
5,know,0.007776,think,0.006514,assassination,0.005403,say,0.005369,washington,0.005072,people,0.005055,president,0.004912,thing,0.004906,cuban,0.004209,get,0.004199,phone,0.004053,go,0.003867,kennedy,0.003663,street,0.00366,going,0.003637,like,0.003445,told,0.003431,yes,0.003423,paul,0.003393,castro,0.00328
6,info,0.010399,ref,0.007853,cuban,0.007583,miami,0.006485,de,0.006391,cite,0.005953,message,0.005904,reproduction,0.005409,total,0.005173,prohibited,0.004575,cuba,0.004535,unit,0.004362,caracas,0.00434,rid,0.004071,per,0.003683,advance,0.00355,issuing,0.003294,c,0.003012,city,0.002984,index,0.002958
7,performance,0.024528,rating,0.02166,employee,0.016722,duty,0.016581,specific,0.012173,letter,0.008696,supervisor,0.008045,current,0.007542,period,0.007273,responsibility,0.005807,training,0.0057,manner,0.005096,reviewing,0.005062,job,0.005008,assignment,0.004739,overall,0.004553,evaluation,0.004451,personnel,0.004419,requirement,0.004026,level,0.003972
8,informant,0.022461,bureau,0.020671,investigation,0.009748,index,0.009633,organization,0.007563,field,0.006448,card,0.006276,letter,0.005817,statement,0.004241,data,0.00412,potential,0.004067,communist,0.003979,sac,0.003959,subversive,0.00391,authority,0.003707,program,0.003553,party,0.003535,set,0.003503,furnished,0.00349,confidential,0.00334
9,line,0.013574,meeting,0.00573,president,0.005488,assassination,0.005107,enter,0.004815,board,0.004275,tax,0.003819,mccone,0.003558,total,0.003536,schedule,0.003414,pp,0.003092,loss,0.00298,instruction,0.002816,bissell,0.002735,income,0.002627,info,0.002497,amount,0.002491,plan,0.002488,dci,0.002447,lumumba,0.002347
10,committee,0.019058,fbi,0.011835,investigation,0.007255,select,0.006964,house,0.006003,material,0.004759,attorney,0.004577,department,0.004404,senate,0.004249,counsel,0.004219,ad,0.004191,dated,0.00419,bureau,0.004151,robert,0.003673,representative,0.003488,legal,0.003467,dep,0.003459,letter,0.003342,hsca,0.003078,federal,0.003064
11,cuba,0.014212,cuban,0.010431,castro,0.005155,country,0.003819,military,0.003718,communist,0.003709,support,0.003523,mexico,0.003357,president,0.003308,city,0.003289,latin,0.003208,soviet,0.003197,political,0.00295,u.s.,0.002943,force,0.002768,ray,0.002684,plan,0.002668,american,0.002641,training,0.00247,national,0.002286
12,committee,0.020607,house,0.010628,employee,0.009901,salary,0.006264,representative,0.005022,congress,0.004686,complete,0.004508,people,0.00439,appointment,0.004168,chairman,0.004118,payroll,0.004114,washington,0.004016,u.s.,0.003973,authorizing,0.003703,adjustment,0.003701,effective,0.003476,approved,0.003339,administration,0.003305,item,0.003254,country,0.003231
13,nosenko,0.019793,soviet,0.012539,kgb,0.011977,embassy,0.008196,american,0.007164,moscow,0.006134,department,0.005996,oswald,0.005404,mexico,0.004747,told,0.003679,asked,0.003208,city,0.002894,know,0.002786,ussr,0.002706,meeting,0.002639,october,0.002604,question,0.002513,reported,0.002473,second,0.002469,wife,0.002467
14,personnel,0.009253,code,0.008967,data,0.007474,salary,0.006623,grade,0.00653,duty,0.005988,employee,0.00583,address,0.00535,signature,0.005174,city,0.004678,yes,0.004572,designation,0.003903,effective,0.003871,employment,0.003742,field,0.003742,previous,0.003497,career,0.00331,branch,0.003291,country,0.003102,location,0.003031
