topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,fbi,0.008635,investigation,0.007302,chicago,0.0069,attorney,0.006449,department,0.005793,federal,0.005699,police,0.004949,rosselli,0.004125,maheu,0.003911,illinois,0.003882,roselli,0.003561,bureau,0.003437,june,0.003422,sa,0.00333,county,0.003191,york,0.002931,telephone,0.002896,court,0.002882,crime,0.002681,bullet,0.002617
1,party,0.010075,national,0.008183,american,0.006342,klan,0.006302,communist,0.005793,university,0.005665,organization,0.005348,program,0.005323,york,0.005062,committee,0.00493,meeting,0.004733,hunt,0.004488,article,0.00435,scheer,0.00379,counterintelligence,0.003611,conference,0.003523,robert,0.003284,february,0.003164,held,0.003107,convention,0.002958
2,cover,0.009513,contract,0.009284,personnel,0.00449,operational,0.004352,travel,0.004312,month,0.004261,employee,0.003953,payment,0.003825,required,0.003742,per,0.003452,approval,0.003372,status,0.003329,headquarters,0.003281,data,0.003266,signature,0.003132,training,0.003118,period,0.003008,duty,0.00295,salary,0.002936,effective,0.002915
3,committee,0.015254,fbi,0.014535,bureau,0.008485,select,0.007306,ssc,0.007123,material,0.006884,senate,0.006609,investigation,0.006357,attorney,0.006197,king,0.005996,board,0.005825,interview,0.005294,counsel,0.00449,letter,0.003946,dated,0.003901,department,0.003896,assassination,0.003818,former,0.003546,response,0.003538,sa,0.003534
4,de,0.061553,la,0.036979,en,0.021879,el,0.019584,los,0.011099,del,0.009392,se,0.008652,por,0.00832,con,0.00809,un,0.007181,para,0.0066,al,0.006242,le,0.005684,e,0.005205,una,0.004826,su,0.004815,lo,0.004627,mexico,0.003689,cuba,0.003626,como,0.003313
5,miami,0.011473,cuban,0.007333,call,0.005021,florida,0.004765,know,0.004421,say,0.004136,washington,0.004036,cuba,0.003973,york,0.003802,told,0.003733,fbi,0.003664,phone,0.003407,oswald,0.003122,street,0.002799,orleans,0.002788,telephone,0.002691,sturgis,0.002688,people,0.002663,novel,0.002657,go,0.002606
6,de,0.010805,cuban,0.010138,miami,0.007723,cuba,0.007321,info,0.006796,total,0.00586,ref,0.005313,caracas,0.004906,message,0.004222,madrid,0.004163,cite,0.003971,havana,0.003968,la,0.003847,jose,0.003677,jmwave,0.003658,check,0.003546,bosch,0.003446,exile,0.003164,reproduction,0.003048,manuel,0.002992
7,soviet,0.011697,loginov,0.010922,wife,0.00922,told,0.007583,de,0.006054,embassy,0.005583,mexico,0.005349,subj,0.005102,asked,0.004999,meet,0.004691,friend,0.00406,home,0.003452,la,0.003401,july,0.003244,log,0.003175,valentin,0.0029,september,0.002854,good,0.002845,meeting,0.002832,hour,0.002733
8,informant,0.031395,bureau,0.025028,investigation,0.008956,field,0.007694,letter,0.006491,potential,0.005696,organization,0.005276,statement,0.004942,department,0.004855,index,0.004697,coverage,0.004642,program,0.004609,confidential,0.004561,furnished,0.004449,authority,0.00439,sac,0.004248,set,0.003997,country,0.00392,necessary,0.003798,investigative,0.003723
9,line,0.043867,enter,0.017007,tax,0.013963,schedule,0.011321,total,0.010528,loss,0.009952,income,0.009537,amount,0.007837,instruction,0.00669,gain,0.006419,attach,0.006284,less,0.004922,credit,0.004095,business,0.004086,dir,0.003959,net,0.003934,add,0.003894,info,0.003891,deduction,0.003447,social,0.003441
10,committee,0.020419,fbi,0.016494,investigation,0.010545,select,0.007508,attorney,0.006753,department,0.005587,bureau,0.005508,house,0.005388,material,0.005122,senate,0.005076,ad,0.005068,counsel,0.004696,legal,0.004294,dep,0.004238,federal,0.004104,dated,0.003827,letter,0.003758,inv,0.003446,representative,0.00337,plan,0.003235
