topic_id,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20
0,code,0.024836,personnel,0.017987,data,0.01736,salary,0.015563,grade,0.010638,designation,0.010193,effective,0.008635,previous,0.008353,fund,0.007707,step,0.007632,category,0.007609,rate,0.007335,signature,0.007174,career,0.007083,serial,0.006944,authority,0.006452,tax,0.006439,legal,0.006265,pay,0.006061,organizational,0.005838
1,hunt,0.010501,klan,0.009483,american,0.006287,party,0.006042,organization,0.005675,national,0.005244,university,0.00468,program,0.00377,klavern,0.003654,communist,0.003633,shelton,0.003627,committee,0.003484,york,0.003385,history,0.003139,convention,0.003116,law,0.003013,inc.,0.002852,letter,0.002825,public,0.002746,meeting,0.002712
2,contract,0.009381,cover,0.008859,personnel,0.005763,employee,0.00451,travel,0.004447,month,0.004419,data,0.00413,payment,0.003914,signature,0.003804,required,0.003441,per,0.003412,duty,0.003399,effective,0.003383,status,0.003378,operational,0.003366,headquarters,0.003289,assignment,0.003228,training,0.003196,period,0.003162,leave,0.003084
3,committee,0.017644,fbi,0.017127,bureau,0.010654,ssc,0.008887,select,0.008598,senate,0.007856,attorney,0.00751,king,0.007334,investigation,0.006874,interview,0.006732,material,0.006099,counsel,0.005031,sa,0.004762,letter,0.004465,department,0.004184,former,0.004126,surveillance,0.004048,dated,0.004002,ad,0.003729,internal,0.0034
4,de,0.064516,la,0.040242,en,0.023772,el,0.021992,los,0.012578,del,0.010648,se,0.009548,por,0.009359,con,0.008955,un,0.007607,para,0.007262,al,0.006902,e,0.005793,una,0.005471,su,0.005461,lo,0.0051,le,0.004976,cuba,0.003782,como,0.003716,si,0.00265
5,miami,0.010745,cuban,0.007343,know,0.005313,call,0.005253,florida,0.004782,say,0.004661,washington,0.004391,told,0.004183,phone,0.004052,cuba,0.003647,fbi,0.003233,york,0.003106,yes,0.003102,people,0.003084,telephone,0.00302,go,0.00298,street,0.002908,called,0.002883,get,0.002768,sturgis,0.00276
6,cuban,0.011403,miami,0.010075,cuba,0.008801,de,0.008134,total,0.005587,caracas,0.005315,info,0.005252,havana,0.004688,check,0.004359,madrid,0.004241,bosch,0.004113,jose,0.004032,jmwave,0.004021,manuel,0.00392,ref,0.00383,exile,0.00378,fbi,0.003613,message,0.00337,rodriguez,0.003364,dated,0.003321
7,soviet,0.01268,loginov,0.011381,wife,0.009533,told,0.008176,embassy,0.006109,subj,0.005662,asked,0.00555,mexico,0.005421,de,0.005337,meet,0.004667,friend,0.004209,home,0.003449,meeting,0.003268,july,0.003209,la,0.00318,good,0.002995,log,0.00295,valentin,0.002916,next,0.002771,c/o,0.002697
8,informant,0.034419,bureau,0.025223,investigation,0.008167,field,0.007649,letter,0.006434,potential,0.00609,department,0.005084,coverage,0.005067,statement,0.004958,program,0.004838,confidential,0.004822,organization,0.00469,furnished,0.0046,index,0.004476,authority,0.004344,payment,0.004125,sac,0.004112,set,0.004047,symbol,0.004016,country,0.003894
9,line,0.052377,enter,0.020468,tax,0.016852,schedule,0.013644,total,0.012308,loss,0.011983,income,0.011465,amount,0.009549,instruction,0.007962,gain,0.007678,attach,0.007526,less,0.00581,credit,0.004874,business,0.00481,net,0.004673,add,0.004588,deduction,0.004188,expense,0.004175,social,0.004111,property,0.003812
10,committee,0.020341,fbi,0.016232,investigation,0.011339,select,0.007362,attorney,0.007099,department,0.005948,house,0.00561,bureau,0.005398,material,0.005027,senate,0.005019,ad,0.004758,counsel,0.004652,federal,0.004403,legal,0.00419,dep,0.003915,letter,0.003623,dated,0.003617,representative,0.003334,inv,0.003251,robert,0.00313
11,info,0.009543,city,0.006957,ref,0.006573,rid,0.006398,cite,0.006142,mexico,0.005794,reproduction,0.005265,prohibited,0.004829,message,0.004228,branch,0.004122,operational,0.004075,cuba,0.00404,charles,0.003996,cuban,0.003782,tichborn,0.003732,total,0.003698,index,0.0036,destroy,0.003469,approval,0.003463,trace,0.003231
12,people,0.00658,country,0.003528,party,0.003443,american,0.003153,committee,0.003056,program,0.002907,york,0.002552,national,0.002294,free,0.00226,political,0.002221,world,0.002211,organization,0.001942,international,0.001935,german,0.001923,wiley,0.001916,europe,0.001847,communist,0.001825,letter,0.00177,paris,0.00177,germany,0.001756
